Src_PLAYER_ID,ActivityMonth,Product,BONUS_COST
16051927,6/30/2020,eGaming,50
19309540,2/28/2021,eGaming,40
13176431,1/31/2020,eGaming,15
12405628,2/28/2019,SportsBook,30
17486248,2/28/2021,eGaming,25
13506896,9/30/2019,SportsBook,150
12804682,8/31/2020,eGaming,60
16447108,7/31/2020,eGaming,205
12482596,2/28/2019,SportsBook,600
14491899,1/31/2020,eGaming,50
20242878,5/31/2021,eGaming,200
13518752,1/31/2020,eGaming,50
13372968,1/31/2021,SportsBook,400
17234738,3/31/2021,eGaming,9
12368998,2/29/2020,SportsBook,100
18524184,5/31/2021,eGaming,19
12375160,1/31/2019,eGaming,20
17316544,10/31/2020,eGaming,40
13764671,10/31/2019,SportsBook,10
19787264,6/30/2021,eGaming,10
12453752,2/28/2019,SportsBook,199
13935424,1/31/2020,eGaming,105
13205317,7/31/2020,SportsBook,5
15337713,4/30/2020,eGaming,100
15632448,4/30/2020,eGaming,100
14913735,2/29/2020,eGaming,10
14678294,3/31/2020,eGaming,10
16620682,8/31/2020,SportsBook,35
12680708,7/31/2019,eGaming,80
13856080,12/31/2019,eGaming,43
13090419,5/31/2019,eGaming,100
12603115,4/30/2019,eGaming,20
12852176,4/30/2019,eGaming,13
13378421,8/31/2019,eGaming,100
15961188,11/30/2020,eGaming,100
12721272,3/31/2019,SportsBook,110
14775155,1/31/2020,SportsBook,10
12400599,5/31/2019,eGaming,200
15031685,4/30/2020,eGaming,30
17700503,4/30/2021,SportsBook,20
14243852,11/30/2019,eGaming,100
14893192,3/31/2020,eGaming,80
20045030,4/30/2021,eGaming,40
12430214,1/31/2019,eGaming,20
13930332,11/30/2019,eGaming,13
15864010,6/30/2020,eGaming,13
18486853,1/31/2021,eGaming,105
13506050,9/30/2019,SportsBook,5
12352172,1/31/2019,eGaming,20
12366424,7/31/2020,eGaming,20
13631261,10/31/2019,eGaming,10
14879913,3/31/2020,eGaming,41
12849580,8/31/2019,SportsBook,150
19471922,4/30/2021,eGaming,100
12360408,1/31/2019,eGaming,13
18937314,2/28/2021,eGaming,49
13321654,6/30/2021,SportsBook,300
13350624,8/31/2019,SportsBook,50
13958272,7/31/2020,eGaming,300
13112089,10/31/2019,eGaming,700
14469908,12/31/2019,eGaming,36
18870828,5/31/2021,eGaming,4
12346653,4/30/2021,eGaming,50
12762987,4/30/2019,eGaming,24
13301592,2/28/2021,eGaming,20
12873117,12/31/2020,eGaming,20
13923316,11/30/2019,eGaming,98
18824463,1/31/2021,SportsBook,50
18970433,5/31/2021,eGaming,9
13487075,11/30/2019,SportsBook,100
13360920,8/31/2020,eGaming,99
12829381,3/31/2020,eGaming,200
12564030,2/28/2019,eGaming,19
12386862,1/31/2019,eGaming,20
19010208,2/28/2021,SportsBook,500
13729970,4/30/2020,eGaming,50
19044940,5/31/2021,eGaming,85
13277229,7/31/2019,eGaming,10
14903927,2/29/2020,eGaming,10
14921757,2/29/2020,eGaming,100
13430649,1/31/2020,SportsBook,100
14952922,2/29/2020,eGaming,150
18532403,12/31/2020,eGaming,52
13793075,11/30/2019,eGaming,506
17769594,11/30/2020,SportsBook,150
14869182,5/31/2021,eGaming,19
13082074,5/31/2019,eGaming,20
13302297,4/30/2021,SportsBook,200
16844280,12/31/2020,eGaming,20
20646861,6/30/2021,eGaming,25
19592294,3/31/2021,eGaming,50
14822495,1/31/2020,eGaming,13
17785953,4/30/2021,eGaming,10
13596600,9/30/2019,eGaming,10
13826308,5/31/2020,eGaming,29
15339827,4/30/2020,eGaming,100
13264299,3/31/2020,eGaming,140
14722717,8/31/2020,eGaming,229
17499924,10/31/2020,SportsBook,40
13388331,8/31/2019,SportsBook,25
17903938,3/31/2021,eGaming,50
14772190,1/31/2020,eGaming,10
16131565,8/31/2020,SportsBook,49
18340958,4/30/2021,eGaming,29
14923928,10/31/2020,SportsBook,160
17077998,11/30/2020,eGaming,100
12477214,3/31/2021,eGaming,20
13798721,11/30/2019,SportsBook,500
17174424,10/31/2020,eGaming,100
12391760,7/31/2019,eGaming,30
17077998,12/31/2020,eGaming,100
