Src_Player_Id,System_First_Bet_Datetime,System_First_BetSlip_Amt,System_First_Bet_Product_Group,System_First_Bet_Product,System_First_Bet_Channel,System_First_Bet_Platform
20793524,7/9/2021 19:43,0,eGaming,Non Table Games,Online,Mobile
13828888,11/26/2019 14:00,1,eGaming,Non Table Games,Online,Mobile
20606892,NULL,NULL,NULL,NULL,NULL,NULL
19629594,NULL,NULL,NULL,NULL,NULL,NULL
13615344,10/1/2019 22:52,1,eGaming,Non Table Games,Online,Mobile
16160651,6/25/2020 15:49,460,Sports,Prematch,Online,Web
13918773,NULL,NULL,NULL,NULL,NULL,NULL
15887111,5/24/2020 15:09,1,eGaming,Non Table Games,Online,Mobile
13793450,10/30/2019 19:19,0,eGaming,Non Table Games,Online,Mobile
13910467,NULL,NULL,NULL,NULL,NULL,NULL
20074382,4/30/2021 8:04,9,Sports,Prematch,Online,Mobile
12348071,1/5/2019 17:10,0,eGaming,Non Table Games,Online,Web
12530684,NULL,NULL,NULL,NULL,NULL,NULL
15682070,6/15/2020 13:22,1,eGaming,Non Table Games,Online,Mobile
12753504,NULL,NULL,NULL,NULL,NULL,NULL
15231530,3/24/2020 14:44,1,eGaming,Non Table Games,Online,Mobile
14529935,12/14/2019 16:59,875,Sports,Prematch,Online,Web
12435540,1/25/2019 16:54,0,eGaming,Non Table Games,Online,Web
14836610,NULL,NULL,NULL,NULL,NULL,NULL
15093784,NULL,NULL,NULL,NULL,NULL,NULL
15254140,NULL,NULL,NULL,NULL,NULL,NULL
18215359,12/8/2020 17:46,10,Sports,Prematch,Online,Mobile
17396710,11/28/2020 18:32,1,eGaming,Non Table Games,Online,Web
12615792,NULL,NULL,NULL,NULL,NULL,NULL
13011880,3/12/2020 15:14,0,eGaming,Non Table Games,Online,Mobile
15789410,5/13/2020 13:16,10,eGaming,Non Table Games,Online,Mobile
15447153,NULL,NULL,NULL,NULL,NULL,NULL
15880358,5/23/2020 20:11,0,eGaming,Non Table Games,Online,Mobile
14802237,NULL,NULL,NULL,NULL,NULL,NULL
17670921,NULL,NULL,NULL,NULL,NULL,NULL
17141045,9/16/2020 13:29,0,eGaming,Non Table Games,Online,Mobile
15660806,4/30/2020 21:33,10,eGaming,Non Table Games,Online,Mobile
14539279,12/13/2019 11:29,10,Sports,Prematch,Online,Mobile
12369074,1/10/2019 16:16,1,eGaming,Non Table Games,Online,Mobile
18835897,1/21/2021 11:27,50,eGaming,Non Table Games,Online,Mobile
14572519,NULL,NULL,NULL,NULL,NULL,NULL
14495361,NULL,NULL,NULL,NULL,NULL,NULL
14903484,NULL,NULL,NULL,NULL,NULL,NULL
17377624,10/9/2020 16:49,2,eGaming,Non Table Games,Online,Mobile
12644368,NULL,NULL,NULL,NULL,NULL,NULL
12812533,4/13/2019 2:05,1,eGaming,Non Table Games,Online,Mobile
12351767,NULL,NULL,NULL,NULL,NULL,NULL
13675789,NULL,NULL,NULL,NULL,NULL,NULL
16175570,NULL,NULL,NULL,NULL,NULL,NULL
13364522,8/16/2019 13:03,1,eGaming,Non Table Games,Online,Mobile
13020484,5/17/2019 21:56,2,Sports,Prematch,Online,Mobile
15173559,NULL,NULL,NULL,NULL,NULL,NULL
14767872,1/15/2020 15:00,2,eGaming,Non Table Games,Online,Mobile
