Src_Player_Id,Signup_Date,acquisition_channel,src_advertiser_id,Gender,Date_Of_Birth,Internal_Player_YN
12747405,3/29/2019 11:24,NA,999999,M ,8/10/1991 0:00,N 
12767695,4/3/2019 11:47,NA,999999,M ,9/16/1992 0:00,N 
12646655,3/9/2019 10:02,NA,999999,M ,12/29/1976 0:00,N 
12608984,2/28/2019 21:16,NA,999999,M ,7/28/1999 0:00,N 
12805826,4/11/2019 14:37,NA,999999,M ,9/30/1975 0:00,N 
12819738,4/14/2019 18:03,NA,999999,M ,11/4/1973 0:00,N 
12612015,3/1/2019 15:15,NA,999999,M ,3/30/1993 0:00,N 
12846011,4/21/2019 8:21,NA,999999,M ,4/17/1982 0:00,N 
12792758,4/8/2019 18:25,NA,999999,M ,8/9/1980 0:00,N 
12568964,2/20/2019 20:12,NA,999999,M ,4/25/1988 0:00,N 
12842723,4/20/2019 12:12,NA,999999,M ,4/7/1998 0:00,N 
12828581,4/16/2019 21:11,NA,999999,M ,7/13/1999 0:00,N 
12482451,2/5/2019 18:08,NA,999999,M ,7/25/1982 0:00,N 
12798230,4/9/2019 20:33,NA,999999,M ,1/15/1997 0:00,N 
12486088,2/6/2019 16:28,NA,999999,M ,8/28/1990 0:00,N 
12864752,4/26/2019 9:59,NA,999999,M ,12/18/1990 0:00,N 
12421466,1/22/2019 11:38,NA,999999,M ,8/26/1979 0:00,N 
12625706,3/4/2019 13:31,NA,999999,M ,7/4/1973 0:00,N 
13038682,5/14/2019 9:52,NA,999999,M ,9/14/1977 0:00,N 
13092115,5/28/2019 17:08,NA,999999,M ,12/28/1992 0:00,N 
12386492,1/14/2019 18:28,NA,999999,M ,7/4/1997 0:00,N 
12810698,4/12/2019 17:28,NA,999999,M ,9/9/2000 0:00,N 
12459620,1/31/2019 7:01,NA,999999,M ,12/11/1992 0:00,N 
12644400,3/8/2019 19:02,NA,999999,M ,9/11/1990 0:00,N 
12867947,4/27/2019 6:11,NA,999999,M ,3/18/1992 0:00,N 
12765020,4/2/2019 18:13,NA,999999,M ,3/27/1997 0:00,N 
12716803,3/22/2019 18:41,NA,999999,M ,6/5/1995 0:00,N 
12742621,3/28/2019 7:22,NA,999999,M ,5/29/1980 0:00,N 
12397581,1/17/2019 15:03,NA,999999,M ,11/29/1984 0:00,N 
12399112,1/17/2019 20:37,NA,999999,M ,10/2/1984 0:00,N 
13028108,5/11/2019 8:08,NA,999999,M ,11/28/1987 0:00,N 
12540757,2/14/2019 20:50,NA,999999,M ,6/17/1985 0:00,N 
12996958,5/3/2019 13:17,NA,999999,M ,4/21/2001 0:00,N 
13097925,5/30/2019 12:17,NA,999999,M ,8/23/1995 0:00,N 
12733929,3/26/2019 8:18,NA,999999,M ,10/8/1999 0:00,N 
12350911,1/6/2019 7:17,NA,999999,M ,7/16/1982 0:00,N 
13076171,5/24/2019 6:55,NA,999999,M ,3/19/1981 0:00,N 
13002151,5/4/2019 19:30,NA,999999,M ,7/17/1967 0:00,N 
13076673,5/24/2019 10:59,NA,999999,M ,12/16/1988 0:00,N 
12982963,4/29/2019 13:45,NA,999999,M ,4/11/1999 0:00,N 
13026735,5/10/2019 20:25,NA,999999,M ,4/5/2001 0:00,N 
